eid,pid,total_V1_channels,total_bad_channels,total_channels_VISp1,total_channels_VISp2/3,total_channels_VISp4,total_channels_VISp5,total_channels_VISp6a,total_channels_VISp6b,multiple_pids,total trials,num_late_movement,total bad trials
158d5d35-a2ab-4a76-87b0-51048c5d5283,b76f24ea-95b1-4a0e-95eb-9c39b1283c40,58,0,0,0,8,26,20,4,0,401.0,115.0,11.0
71e55bfe-5a3a-4cba-bdc7-f085140d798e,7cbecb3f-6a8a-48e5-a3be-8f7a762b5a04,30,0,0,0,0,12,14,4,0,1132.0,15.0,239.0
9a6e127b-bb07-4be2-92e2-53dd858c2762,e5bc1f00-f4b8-4b35-a9b6-60d9cc7959a1,2,0,0,0,0,2,0,0,0,653.0,35.0,122.0
db4df448-e449-4a6f-a0e7-288711e7a75a,febb430e-2d50-4f83-87a0-b5ffbb9a4943,40,0,0,0,10,16,12,2,0,402.0,81.0,77.0
e012d3e3-fdbc-4661-9ffa-5fa284e4e706,2400a2fa-0335-480b-ac8d-a478171f3a55,44,0,0,0,2,22,20,0,0,705.0,32.0,153.0
75b6b132-d998-4fba-8482-961418ac957d,88fe9ed9-9e3e-431a-8ecc-4cb2fe5bf448,16,0,10,6,0,0,0,0,0,471.0,35.0,5.0
58b1e920-cfc8-467e-b28b-7654a55d0977,1f555fc6-5067-428b-a284-da6fb0b6b3a0,98,2,12,26,12,22,22,4,0,728.0,94.0,1.0
6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,e4ce2e94-6fb9-4afe-acbf-6f5a3498602e,26,0,0,0,0,4,22,0,0,874.0,1.0,213.0
111c1762-7908-47e0-9f40-2f2ee55b6505,27bac116-ea57-4512-ad35-714a62d259cd,42,0,0,0,0,18,20,4,0,724.0,21.0,277.0
35ed605c-1a1a-47b1-86ff-2b56144f55af,85bdeae3-269b-4e39-bd9b-2b0d95aff2fa,24,0,0,24,0,0,0,0,0,522.0,101.0,27.0
a19c7a3a-7261-42ce-95d5-1f4ca46007ed,c6ba6f8e-c13e-410f-b7df-e193ba0d239d,22,0,0,0,0,14,8,0,0,479.0,64.0,73.0
1dbba733-24a4-4400-9436-53f1bd8428e8,22609d51-0a6a-425d-a3ef-eeb43a9ba350,12,0,0,0,0,0,6,6,0,620.0,11.0,31.0
85dc2ebd-8aaf-46b0-9284-a197aee8b16f,df07180e-268e-489c-826e-40cb6f63d3a5,54,2,0,0,10,26,16,2,0,770.0,17.0,55.0
dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,56,3,0,0,8,48,0,0,0,1111.0,4.0,13.0
c3d9b6fb-7fa9-4413-a364-92a54df0fc5d,cab81176-36cd-4c37-9353-841e85027d36,20,0,0,0,10,10,0,0,0,587.0,59.0,157.0
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,cc9d666c-6fe5-418d-9b37-114428d25454,6,0,0,0,0,0,2,4,0,656.0,143.0,92.0
413a6825-2144-4a50-b3fc-cf38ddd6fd1a,b9b101cf-24d3-4c2a-8464-bc91b9f0c767,70,0,14,22,14,20,0,0,0,456.0,78.0,36.0
d901aff5-2250-467a-b4a1-0cb9729df9e2,12c0f3a9-518e-4dac-9651-5d95c2b4730f,118,0,18,30,24,34,12,0,0,458.0,44.0,182.0
ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,92822789-608f-44a6-ad64-fe549402b2df,72,0,10,20,8,18,12,4,0,620.0,38.0,20.0
b9c205c3-feac-485b-a89d-afc96d9cb280,ea931b15-6214-4b80-8d88-7acbbe071bc0,24,0,0,0,0,0,18,6,0,657.0,226.0,129.0
6274dda8-3a59-4aa1-95f8-a8a549c46a26,1bd85dab-7a53-49d1-acd4-e82f9fd07cf6,68,0,0,0,10,28,24,6,0,781.0,112.0,73.0
5b44c40f-80f4-44fb-abfb-c7f19e27a6ca,d6c810b2-5922-4127-af2b-4b104bc55c2b,62,0,0,0,14,26,18,4,0,589.0,128.0,46.0
5ae68c54-2897-4d3a-8120-426150704385,a8a59fc3-a658-4db4-b5e8-09f1e4df03fd,38,0,0,0,6,6,20,6,0,740.0,20.0,177.0
5d01d14e-aced-4465-8f8e-9a1c674f62ec,c84144db-4498-4627-b72a-975a6b618715,78,3,4,22,14,20,14,4,0,554.0,285.0,4.0
7416f387-b302-4ca3-8daf-03b585a1b7ec,caf2170c-5463-46ce-8cd0-66f2e1e3376d,14,0,0,0,0,14,0,0,0,476.0,18.0,3.0
872ce8ff-9fb3-485c-be00-bc5479e0095b,0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,32,0,2,30,0,0,0,0,0,443.0,46.0,65.0
e0928e11-2b86-4387-a203-80c77fab5d52,fdeff6df-7216-4b83-ab64-241e9fd173da,92,0,12,24,10,26,16,4,1,474.0,119.0,4.0
bda2faf5-9563-4940-a80f-ce444259e47b,29418b18-4db6-436f-a85e-b0f1d38d2e62,80,1,26,38,16,0,0,0,0,545.0,8.0,19.0
